TAG,DUPLICATION TEXT,NUMBER OF DUPLICATION,URL
META DESCRIPTION,"On-site supplier audit programs, product inspections and laboratory tests for global brands, retailers and importers. Secure and manage your supply chain here.",37,"#
https://www.asiainspection.com/#usa_state_news
https://www.asiainspection.com/#international_news_–_australia
https://www.asiainspection.com/#australia_new_zealand_news
https://www.asiainspection.com/#asia_news
https://www.asiainspection.com/#usa_federal_news
http://www.asiainspection.com/quality-control-services-china-india-asia#laboratory_testing
https://www.asiainspection.com/#australia_news
https://www.asiainspection.com/#middle_east_news
https://www.asiainspection.com/#north_america_news
https://www.asiainspection.com/#international_news_–_asia_–_china
https://www.asiainspection.com/#south_africa_news
https://www.asiainspection.com/#international_news_–_asia
https://www.asiainspection.com/#718027
https://www.asiainspection.com/#international_news_–_north_america
https://www.asiainspection.com/
https://www.asiainspection.com/#principleobligation
https://www.asiainspection.com/#international_news_–_europe
https://www.asiainspection.com/#intellectualProperty
https://www.asiainspection.com/#language
https://www.asiainspection.com/#general
https://www.asiainspection.com/#south_america_news
https://www.asiainspection.com/#aiobligation
https://www.asiainspection.com/#footnotes
https://www.asiainspection.com/#provisionservices
https://www.asiainspection.com/#liability
http://www.asiainspection.com/quality-control-services-china-india-asia#audit
https://www.asiainspection.com/#invoicing
https://www.asiainspection.com/#miscellaneous
https://www.asiainspection.com/#europe_news
http://www.asiainspection.com/quality-control-services-china-india-asia#product_inspections
https://www.asiainspection.com/#privacyPolicy
https://www.asiainspection.com/#federal_news
https://www.asiainspection.com/#international_news_–_south_america
http://www.asiainspection.com/
http://www.asiainspection.com
https://www.asiainspection.com/#law
https://www.asiainspection.com/#termination"
META DESCRIPTION,We've compiled the latest ASTM standards updates for our clients into one quick reference table. View the latest updates list and summary here.,6,"#
http://www.asiainspection.com/regulatory-updates/August-2016/astm-standards
https://www.asiainspection.com/regulatory-updates/March-2016/updates-astm
http://www.asiainspection.com/regulatory-updates/March-2016/updates-astm
https://www.asiainspection.com/regulatory-updates/August-2016/astm-standards
https://www.asiainspection.com/regulatory-updates/May-2016/updates-of-astm-standards
http://www.asiainspection.com/regulatory-updates/May-2016/updates-of-astm-standards"
META DESCRIPTION,"We conduct supplier audit programs, product inspections, and laboratory testing to provide the most comprehensive quality control services. See how you can secure your supply chain.",5,"#
http://www.asiainspection.com/quality-control-services
https://www.asiainspection.com/quality-control-services#audit
https://www.asiainspection.com/quality-control-services
https://www.asiainspection.com/quality-control-services#laboratory_testing
https://www.asiainspection.com/quality-control-services#product_inspections"
META DESCRIPTION,Laboratory testing for quality control (QC) is fast and easy with our online platform and AI testing labs are accessible worldwide. Learn more about our lab services here.,3,"#
https://www.asiainspection.com/quality-control-services/laboratory-testing
https://www.asiainspection.com/laboratory-testing
http://www.asiainspection.com/quality-control-services/laboratory-testing"
META DESCRIPTION,"Our supply chain papers offer insights into quality control issues globally, based on our research and analysis. See the latest industry insights here.",3,"#
http://www.asiainspection.com/supply-chain-insights
https://www.asiainspection.com/whitepapers
https://www.asiainspection.com/supply-chain-insights"
META DESCRIPTION,Review AsiaInspection's conditions of service here.,3,"#
https://www.asiainspection.com/conditions-of-service
https://www.asiainspection.com/conditions-of-service#privacyPolicy_8.1
http://www.asiainspection.com/conditions-of-service"
META DESCRIPTION,"Take your career to the next level with AsiaInspection! Work with professionals from all over the globe as part of a growing company, in a quickly-evolving industry. View opportunities and apply online now.",3,"#
http://www.asiainspection.com/job-application
https://www.asiainspection.com/career-opportunities
http://www.asiainspection.com/career-opportunities"
META DESCRIPTION,: AI offers extensive expertise in food safety and quality control. Ensure the safety and quality of your products with a third party inspector from AsiaInspection.,2,"#
http://www.asiainspection.com/food-safety-testing
https://www.asiainspection.com/food-safety-testing"
META DESCRIPTION,: AI provides quality assurance and testing for the food processing industry. Ensure compliance and safety of your products with the experience of AsiaInspection.,2,"#
https://www.asiainspection.com/testing/quality-control-for-processed-food
http://www.asiainspection.com/testing/quality-control-for-processed-food"
META DESCRIPTION,": AsiaInspection offers third party food safety audits, helping you reduce food safety risks throughout your supply chain. Book audits online and access your results through our platform.",2,"#
http://www.asiainspection.com/third-party-food-safety-audits
https://www.asiainspection.com/third-party-food-safety-audits"
META DESCRIPTION,A REACH laboratory test gives you the peace of mind that your products are compliant with the latest EU requirements. View this sample report to learn how AI makes chemical safety and compliance easy.,2,"#
https://www.asiainspection.com/samplereport/reach-certification
http://www.asiainspection.com/samplereport/reach-certification"
META DESCRIPTION,A during production inspection (DUPRO) gives you the peace of mind that your product is being manufactured properly. View this sample report to see how your manufacturing process can benefit from reliable QC.,2,"#
http://www.asiainspection.com/samplereport/dupro-during-production-inspection
https://www.asiainspection.com/samplereport/dupro-during-production-inspection"
META DESCRIPTION,"A new version of the ASTM F963 standard was published in October, 2016. Review a summary of the latest ASTM F963 toy safety requirement changes here.",2,"#
http://www.asiainspection.com/astm-f963-16-toy-safety-standard
https://www.asiainspection.com/astm-f963-16-toy-safety-standard"
META DESCRIPTION,A pre-shipment inspection report lets you check the quality of your order before it is dispatched. View this Pre-Shipment Inspection Report sample and learn more about our inspections here.,2,"#
http://www.asiainspection.com/samplereport/pre-shipment-inspection-report
https://www.asiainspection.com/samplereport/pre-shipment-inspection-report"
META DESCRIPTION,A third-party C-TPAT audit provides you with an accurate overview of the state of security in your supply chain and a corrective action plan. View this sample report to see how we can help you remain C-TPAT compliant.,2,"#
http://www.asiainspection.com/samplereport/c-tpat-audit
https://www.asiainspection.com/samplereport/c-tpat-audit"
META DESCRIPTION,"AI announces it has acquired ETIC, a state-of-the-art eyewear testing facility in Hong Kong and the only testing lab to hold accreditation for both ophthalmic products and personal protection equipment!",2,"#
https://www.asiainspection.com/asia-inspection-news/ETICAcquisition
http://www.asiainspection.com/asia-inspection-news/ETICAcquisition"
META DESCRIPTION,AI fruit and produce specialists offer reliable product inspections and testing services for exporters and importers of berries worldwide. Learn more about AsiaInspection berry QC here.,2,"#
https://www.asiainspection.com/testing/berries
http://www.asiainspection.com/testing/berries"
META DESCRIPTION,AI has teams dedicated specifically to the Technical and Mechanical industry. We offer the highest quality inspection and QC services. Learn more about our audits and inspections here.,2,"#
http://www.asiainspection.com/industry-techparts
https://www.asiainspection.com/industry-techparts"
META DESCRIPTION,AI is a global leader in quality control and compliance. Contact us today for details on our quality control services. You can reach us by phone or email or at a regional office.,2,"#
https://www.asiainspection.com/contact-us
http://www.asiainspection.com/contact-us"
META DESCRIPTION,"AI is a global leading quality control and compliance service provider. We secure, manage and optimize global supply chains for brands, retailers and importers. Learn more about AI here.",2,"#
https://www.asiainspection.com/who-we-are
http://www.asiainspection.com/who-we-are"
META DESCRIPTION,"AI offers GMP audits for the food industry so brands and retailers can improve their food safety and quality systems. Book audits and access results online, through the AsiaInspection platform.",2,"#
http://www.asiainspection.com/gmp-food-audits-and-compliance
https://www.asiainspection.com/gmp-food-audits-and-compliance"
META DESCRIPTION,"AI offers electronic product testing and quality control services. Learn about our laboratory, physical, and mechanical tests for consumer electronics here.",2,"#
https://www.asiainspection.com/testing/electrical
http://www.asiainspection.com/testing/electrical"
META DESCRIPTION,"AI offers inspections, audits, and lab testing for seafood safety and compliance at all stages of production. Ensure quality and safety with the experience of AsiaInspection.",2,"#
https://www.asiainspection.com/testing/seafood
http://www.asiainspection.com/testing/seafood"
META DESCRIPTION,"AI offers inspections, audits, and lab testing services for meat and poultry products. Ensure the safety and compliance of your products, all online through the AI platform.",2,"#
http://www.asiainspection.com/testing/meat-poultry
https://www.asiainspection.com/testing/meat-poultry"
META DESCRIPTION,"AI offers lab testing, product inspections, and audits for a wide range of promotional merchandise. Find out how to improve the quality of your products with AsiaInspection.",2,"#
http://www.asiainspection.com/testing/promotional-products
https://www.asiainspection.com/testing/promotional-products"
META DESCRIPTION,AI provides food hygiene (GHP) audits to help brands and manufacturers with international compliance and in house HACCP plans. Book an audit online today through the AsiaInspection platform.,2,"#
https://www.asiainspection.com/ghp-food-hygiene-audits
http://www.asiainspection.com/ghp-food-hygiene-audits"
META DESCRIPTION,"AI provides food packaging and food container inspections and lab testing. Book online, access reports, and take action with our online platform.",2,"#
http://www.asiainspection.com/testing/food-packaging-and-containers
https://www.asiainspection.com/testing/food-packaging-and-containers"
META DESCRIPTION,"AI provides inspections, lab testing, and audits for fresh produce, helping you ensure the quality and safety of your product. Easily book online through the AI platform.",2,"#
http://www.asiainspection.com/testing/produce-inspections-and-quality-control
https://www.asiainspection.com/testing/produce-inspections-and-quality-control"
META DESCRIPTION,"AI provides production monitoring inspection services. For challenging or sensitive orders, have an inspector monitor your production and report back daily.",2,"#
http://www.asiainspection.com/production-monitoring
https://www.asiainspection.com/production-monitoring"
META DESCRIPTION,"AI provides testing, audits, and inspections for the beverage industry. Ensure the quality of your products with AsiaInspection; Book online today through the AI platform.",2,"#
http://www.asiainspection.com/testing/beverage-quality-control
https://www.asiainspection.com/testing/beverage-quality-control"
META DESCRIPTION,AI provides you with regular updates on new product safety standards and regulations to help you keep on top of your products' compliance. Get the latest updates here.,2,"#
https://www.asiainspection.com/regulatory-updates
http://www.asiainspection.com/regulatory-updates"
META DESCRIPTION,"According to the Consumer Product Safety Commission (CPSC), more than 50 cases of self-balancing scooter fires were reported during the period from December 1, 2015 to February 17, 2016, resulting in over $2 million of property damage. Learn more here.",2,"#
https://www.asiainspection.com/regulatory-updates/March-2016/self-balancing-scooters
http://www.asiainspection.com/regulatory-updates/March-2016/self-balancing-scooters"
META DESCRIPTION,"After mandating the Indonesia National Standards (NSI) and EN 71 part 5 for toy's safety, the Minister of Industry appointed domestic accredited laboratories to perform testing. Learn more here.",2,"#
https://www.asiainspection.com/regulatory-updates/June-2016/indonesia-imported-toys
http://www.asiainspection.com/regulatory-updates/June-2016/indonesia-imported-toys"
META DESCRIPTION,"An AI structural audit report gives you a complete picture of your supplier’s facilities, allowing you to ensure compliance and manage risk. View this sample report to see what you can expect from an AI structural audit.",2,"#
https://www.asiainspection.com/samplereport/structural-audit
http://www.asiainspection.com/samplereport/structural-audit"
META DESCRIPTION,An environmental audit is your first step to lowering the impact of your supply chain. View this sample report to see how an AI audit can help you improve your environmental performance.,2,"#
https://www.asiainspection.com/samplereport/environmental-compliance-audit
http://www.asiainspection.com/samplereport/environmental-compliance-audit"
META DESCRIPTION,Are you sure the toys you import are safe? Our laboratory testing revealed that 25% of made in China toys are not phthalate free. Learn more about phthalates in toys here.,2,"#
http://www.asiainspection.com/phthalate-toys-laboratory-testing
https://www.asiainspection.com/phthalate-toys-laboratory-testing"
META DESCRIPTION,"As Western-based companies continue to move manufacturing and labor force overseas, inspection services in Vietnam are more important for efficient business operations.",2,"#
https://www.asiainspection.com/quality-control-vietnam
http://www.asiainspection.com/quality-control-vietnam"
META DESCRIPTION,"As governments respond to toxic toys with more regulations, consumers are becoming more selective. Learn about PVC and phthalates testing in toys and how consumers are responding to the results.",2,"#
https://www.asiainspection.com/toy-safety-laboratory-testing
http://www.asiainspection.com/toy-safety-laboratory-testing"
META DESCRIPTION,"As your QCA preferred laboratory partner, we continuously look for ways to add value to your membership.",2,"#
http://www.asiainspection.com/qca-member-discount
https://www.asiainspection.com/qca-member-discount"
META DESCRIPTION,Asia Inspection conducts 2 and 4 pillar SMETA audits in accordance with SEDEX’s Associate Auditor Group’s Best Practices. Secure your supply chain with a SMETA audit and corrective action plan report.,2,"#
http://www.asiainspection.com/smeta-audit
https://www.asiainspection.com/smeta-audit"
META DESCRIPTION,"Asia Inspection environmental compliance audits conform to the ISO 14001 family of international standards. Learn about our water testing, chemical control audits and more here.",2,"#
https://www.asiainspection.com/environmental-audit
http://www.asiainspection.com/environmental-audit"
META DESCRIPTION,Asia Inspection offers tailored apparel and garment quality control for some of the world's largest brands and retailers. Find out how we can help you improve your supply chain.,2,"#
http://www.asiainspection.com/testing/garments-apparel
https://www.asiainspection.com/testing/garments-apparel"
META DESCRIPTION,Asia Inspection offers third party Consumer Product Safety Improvement Act (CPSIA) testing services. Guarantee your production is CPSIA compliant with a third party test.,2,"#
https://www.asiainspection.com/cpsia-testing
http://www.asiainspection.com/cpsia-testing"
META DESCRIPTION,Asia Inspection provides C-TPAT compliance services for US customers worldwide. Learn how our qualified auditors can improve your supply chain security.,2,"#
https://www.asiainspection.com/c-tpat-compliance
http://www.asiainspection.com/c-tpat-compliance"
META DESCRIPTION,Asia Inspection provides ethical audit programs for producers worldwide to ensure social accountability standards are met. Learn more about our ethical audits here.,2,"#
http://www.asiainspection.com/ethical-audit
https://www.asiainspection.com/ethical-audit"
META DESCRIPTION,Asia Inspection provides manufacturing audit (MA) and supplier evaluation services for brands and manufacturers world wide. Learn more about our manufacturing audit process here.,2,"#
http://www.asiainspection.com/manufacturing-audit
https://www.asiainspection.com/manufacturing-audit"
META DESCRIPTION,Asia Inspection provides pre shipment inspection (PSI) services globally. Learn more about our product inspection and quality control process here.,2,"#
https://www.asiainspection.com/pre-shipment-inspection
http://www.asiainspection.com/pre-shipment-inspection"
META DESCRIPTION,Asia Inspection provides quality control and assurance for every type of footwear. Our footwear testing helps ensure compliance and performance standards. Learn more about our footwear testing.,2,"#
http://www.asiainspection.com/testing/footwear
https://www.asiainspection.com/testing/footwear"
META DESCRIPTION,Asia Inspection provides textile testing and quality control services for the softline industry. Ensure your products meet safety standards with laboratory testing and inspections.,2,"#
http://www.asiainspection.com/industry-softline
https://www.asiainspection.com/industry-softline"
META DESCRIPTION,Asia Inspection structural audits ensure your supplier's buildings and factories are structurally safe and up to code. Find out more about our structural audit services here.,2,"#
https://www.asiainspection.com/structural-audits
http://www.asiainspection.com/structural-audits"
META DESCRIPTION,"AsiaInspection has acquired Anesco Group, a US-headquartered laboratory company that specializes in testing toys, children's toys, and hardlines. Read the full press release here.",2,"#
https://www.asiainspection.com/asia-inspection-news/Anseco_Announcement
http://www.asiainspection.com/asia-inspection-news/Anseco_Announcement"
META DESCRIPTION,"AsiaInspection has over 800 inspectors, auditors and mechanical engineering experts classified by product range to ensure your product meets all safety and performance standards for your destination market.",2,"#
https://www.asiainspection.com/quality-control-services-by-industry
http://www.asiainspection.com/quality-control-services-by-industry"
META DESCRIPTION,AsiaInspection is accredited by and in accordance with several regulatory bodies and international standards. View the full list and learn more about our inspection and audit qualifications here.,2,"#
https://www.asiainspection.com/accreditations
http://www.asiainspection.com/accreditations"
META DESCRIPTION,"AsiaInspection news covers the latest in supply chain quality control. Find industry updates, quarterly reports, and more from the leaders in quality control.",2,"#
https://www.asiainspection.com/asia-inspection-news
http://www.asiainspection.com/asia-inspection-news"
META DESCRIPTION,"AsiaInspection offers food inspection and quality control services, helping you ensure the safety of your products. See why we’re the trusted service for inspections and audits around the world.",2,"#
http://www.asiainspection.com/testing/food-inspection-services
https://www.asiainspection.com/testing/food-inspection-services"
META DESCRIPTION,AsiaInspection offers lab testing and inspections for sports eyewear and goggles. Ensure the quality of your performance eyewear products with AI.,2,"#
http://www.asiainspection.com/testing/sports-eyewear-goggles
https://www.asiainspection.com/testing/sports-eyewear-goggles"
META DESCRIPTION,"AsiaInspection offers lab tests and inspection for all categories of hardlines, helping you ensure product quality and safety in your global supply chain.",2,"#
https://www.asiainspection.com/industry-hardline
http://www.asiainspection.com/industry-hardline"
META DESCRIPTION,"AsiaInspection offers product inspections, lab testing, and RJC certified ethical audits for the jewelry industry. Secure your jewelry supply chain and protect your brand.",2,"#
https://www.asiainspection.com/testing/jewelry
http://www.asiainspection.com/testing/jewelry"
META DESCRIPTION,"AsiaInspection offers product inspections, supplier audits and lab testing in all of China. Find out how we can help you with quality control in China.",2,"#
https://www.asiainspection.com/quality-control-in-china
http://www.asiainspection.com/quality-control-in-china"
META DESCRIPTION,"AsiaInspection offers product inspections, supplier audits and lab testing throughout Bangladesh. Find out how we can help you with quality control in Bangladesh.",2,"#
https://www.asiainspection.com/quality-control-bangladesh
http://www.asiainspection.com/quality-control-bangladesh"
META DESCRIPTION,"AsiaInspection offers product inspections, supplier audits and laboratory testing tailored for the cosmetics industry to comply with country-specific regulations and international standards.",2,"#
https://www.asiainspection.com/testing/cosmetics
http://www.asiainspection.com/testing/cosmetics"
META DESCRIPTION,AsiaInspection offers quality assurance and lab testing services for toys and recreational items. Ensure the quality and safety standards of your products with a third party test from AsiaInspection.,2,"#
https://www.asiainspection.com/testing/toy-safety-and-lab-testing
http://www.asiainspection.com/testing/toy-safety-and-lab-testing"
META DESCRIPTION,AsiaInspection partners with key players in the international trade community to enable global buyers and sellers to secure and enhance their supply chain management. See a list of our partners here.,2,"#
http://www.asiainspection.com/asia-inspection-partners
https://www.asiainspection.com/asia-inspection-partners"
META DESCRIPTION,AsiaInspection promotes a corporate culture based on 8 values. Find our company values and learn more about AsiaInspection here.,2,"#
http://www.asiainspection.com/corporate-values
https://www.asiainspection.com/corporate-values"
META DESCRIPTION,AsiaInspection provides 3rd party SASO certification services for products manufactured in Asia and Australia. Obtain your SASO certificate of conformity with AsiaInspection.,2,"#
https://www.asiainspection.com/testing/saso-certificate-of-conformity
http://www.asiainspection.com/testing/saso-certificate-of-conformity"
META DESCRIPTION,AsiaInspection provides HOKLAS certified lab testing and inspections for optical lenses. Ensure your products comply with all applicable standards.,2,"#
http://www.asiainspection.com/testing/optical-lenses
https://www.asiainspection.com/testing/optical-lenses"
META DESCRIPTION,"AsiaInspection provides a wide range of lab tests for ready-made reading glasses, including frame and lens testing to international standards. Learn more about our quality control services here.",2,"#
http://www.asiainspection.com/testing/reading-glasses
https://www.asiainspection.com/testing/reading-glasses"
META DESCRIPTION,"AsiaInspection provides inspections, audits and laboratory testing in countries around the world. View a map of our service areas and full list of countries we work in.",2,"#
https://www.asiainspection.com/quality-control-coverage
http://www.asiainspection.com/quality-control-coverage"
META DESCRIPTION,AsiaInspection provides quality assurance and lab testing services for textiles. Book an inspection online and receive your results within 48 hrs.,2,"#
http://www.asiainspection.com/testing/textile-fabric-quality-control
https://www.asiainspection.com/testing/textile-fabric-quality-control"
META DESCRIPTION,"AsiaInspection provides quality assurance services for a wide range of products. Find out how AI’s guidance can assist you with product development, manufacturing, and procurement processes.",2,"#
http://www.asiainspection.com/quality-assurance-services
https://www.asiainspection.com/quality-assurance-services"
META DESCRIPTION,"AsiaInspection provides testing and inspections for professional eye protectors, safety glasses, goggles and PPE. Ensure the quality of your product with AI.",2,"#
http://www.asiainspection.com/testing/eye-protectors
https://www.asiainspection.com/testing/eye-protectors"
META DESCRIPTION,AsiaInspection’s HOKLAS accredited eyewear testing labs help you ensure your products are compliant with international standards. Learn more about AI eyewear quality control here.,2,"#
http://www.asiainspection.com/testing/eyewear
https://www.asiainspection.com/testing/eyewear"
META DESCRIPTION,AsiaInspection’s HOKLAS accredited spectacle frame testing laboratories help you meet the requirements of your market. Book tests online and access reports through our online platform.,2,"#
https://www.asiainspection.com/testing/spectacle-frames
http://www.asiainspection.com/testing/spectacle-frames"
META DESCRIPTION,AsiaInspection’s HOKLAS accredited sunglass testing laboratories help you meet the requirements of your market. Book tests online and access reports through our online platform.,2,"#
http://www.asiainspection.com/testing/sunglasses
https://www.asiainspection.com/testing/sunglasses"
META DESCRIPTION,AsiaInspection’s QC mobile app lets you manage your product and supplier compliance on the go. Find out how easy it is to manage your supply chain from anywhere.,2,"#
http://www.asiainspection.com/mobile
https://www.asiainspection.com/mobile"
META DESCRIPTION,AsiaInspection’s accredited laboratories provide a full scope of lab testing and certification services for the food product industry. Ensure the quality of your products with AI.,2,"#
http://www.asiainspection.com/food-testing-and-certification-lab
https://www.asiainspection.com/food-testing-and-certification-lab"
META DESCRIPTION,"At AsiaInspection we provide simple, all inclusive pricing for our quality control services. View our pricing for product inspections, supplier audit programs, and laboratory testing.",2,"#
http://www.asiainspection.com/quality-control-pricing
https://www.asiainspection.com/quality-control-pricing"
META DESCRIPTION,Below is a summary of recently updated ASTM standards that may be of interest to our clients,2,"#
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-updates-of-astm-standards
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-updates-of-astm-standards"
META DESCRIPTION,"Cargo inspection services (container loading check), ensure the final details of your product are correct and securely loaded. Learn more about our inspection services here.",2,"#
http://www.asiainspection.com/container-loading-check
https://www.asiainspection.com/container-loading-check"
META DESCRIPTION,China MIIT has issued a frequently asked questions document for the upcoming new China RoHS regulations. Learn more about the FAQ doc release here.,2,"#
https://www.asiainspection.com/regulatory-updates/June-2016/china-upcoming-regulation-
http://www.asiainspection.com/regulatory-updates/June-2016/china-upcoming-regulation-"
META DESCRIPTION,Consumers are becoming increasingly aware of modern day slavery in supply chains. Understand how the anti-slavery movement impacts your brand and learn what you can do to ensure ethical compliance of your suppliers.,2,"#
http://www.asiainspection.com/whitepaper/Modern-Slavery
https://www.asiainspection.com/whitepaper/Modern-Slavery"
META DESCRIPTION,"Consumers are driving a sea of change as 2,000 slave laborers have been released from the Thai fishing industry. Learn more about the true extent of modern day slavery.",2,"#
https://www.asiainspection.com/asia-inspection-news/Modern_Day_Slavery
http://www.asiainspection.com/asia-inspection-news/Modern_Day_Slavery"
META DESCRIPTION,Data supports the fact that ethical companies perform better in every aspect of business. Learn about the economic benefits of ethical supply chain management in this whitepaper.,2,"#
http://www.asiainspection.com/whitepaper/ethical-supply-chains
https://www.asiainspection.com/whitepaper/ethical-supply-chains"
META DESCRIPTION,Ensure your products comply with California Prop 65 requirements. AI provides comprehensive testing and quality assurance for CA prop 65 compliance.,2,"#
https://www.asiainspection.com/cal-prop-65-compliance-testing
http://www.asiainspection.com/cal-prop-65-compliance-testing"
META DESCRIPTION,Ethical audit reports from AsiaInspection give you valuable insight into the ethics of your suppliers. View this ethical audit report and learn more about our inspections here.,2,"#
http://www.asiainspection.com/samplereport/ethical-audit-report
https://www.asiainspection.com/samplereport/ethical-audit-report"
META DESCRIPTION,Ethical audit reports from AsiaInspection give you valuable insight into the ethics of your suppliers. View this sample report from a Bangladeshi factory and learn more about our audits here.,2,"#
http://www.asiainspection.com/samplereport/bangladesh-audit-report
https://www.asiainspection.com/samplereport/bangladesh-audit-report"
META DESCRIPTION,"Every year, consumer products with identified hazards are recalled and published in the Recalls and Safety Alerts Database on the Health Canada Website. View a summary of recalls from January 1 to April 30, 2016 here.",2,"#
http://www.asiainspection.com/regulatory-updates/May-2016/canada-recalls-summary
https://www.asiainspection.com/regulatory-updates/May-2016/canada-recalls-summary"
META DESCRIPTION,Find out how an innovative toy company ensured the safety of its products by working with AI to establish a comprehensive QC program in this whitepaper.,2,"#
http://www.asiainspection.com/whitepaper/toy-company
https://www.asiainspection.com/whitepaper/toy-company"
META DESCRIPTION,Find out why millennial-focused brands cannot afford to ignore social responsibility in this whitepaper about consumer behavior from AsiaInspection.,2,"#
http://www.asiainspection.com/whitepaper/5-Reasons-Why-Millennial-Focused-Brands-Cannot-Afford-to-Ignore-Social-Responsibility
https://www.asiainspection.com/whitepaper/5-Reasons-Why-Millennial-Focused-Brands-Cannot-Afford-to-Ignore-Social-Responsibility"
META DESCRIPTION,For during production inspections (DUPRO) we use the internationally recognized ANSI/ASQC statistical sampling procedure. Learn more about or in process quality control services.,2,"#
http://www.asiainspection.com/during-production-inspection
https://www.asiainspection.com/during-production-inspection"
META DESCRIPTION,Improve quality control in your manufacturing process with a third party product inspection from AsiaInspection. Learn more about our production inspection services here.,2,"#
http://www.asiainspection.com/quality-control-services/product-and-manufacturing-inspections
https://www.asiainspection.com/quality-control-services/product-and-manufacturing-inspections"
META DESCRIPTION,"In 1986, California voters approved an initiative titled California Proposition 65 to address their growing concerns about exposure to toxic chemicals. Since its origin, there have been many lawsuits that have resulted in reformulations of consumer products containing carcinogenic and reproductively harmful chemicals on the Cal Prop 65 list.",2,"#
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-prop65-recent-60-day
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-prop65-recent-60-day"
META DESCRIPTION,"In Canada, when hazards are identified in consumer products, they will be recalled and published in the Recalls and Safety Alerts Database on the Health Canada website, which is updated daily. The Canada recalls from January 1 to February 28, 2017 are summarized below:",2,"#
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-canada-recalls-summary
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-canada-recalls-summary"
META DESCRIPTION,"In Canada, when hazards are identified in consumer products, they will be recalled and published in the Recalls and Safety Alerts Database on the Health Canada website, which is updated daily. The Canada recalls from March 1 to April 30, 2017 are summarized below:",2,"#
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-canada-recalls-summary
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-canada-recalls-summary"
META DESCRIPTION,"In December 2016, the Decree of December 22, 2016 entered into force to extend the restriction on toy puzzle mats containing formamide. These items are banned from import and placing on the market.",2,"#
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-france-decree-foam-puzzle-mats
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-france-decree-foam-puzzle-mats"
META DESCRIPTION,"In December, 2014, the Ministry of Health, Labour and Welfare (MHLW) of Japan designated azo dyes as harmful substance under the Control of Household Products Containing Harmful Substances Act (No. 112 of 1973) and restricted the presence of 24 aromatic amines generated from azo dyes.",2,"#
https://www.asiainspection.com/regulatory-updates/March-2016/japan-azo
http://www.asiainspection.com/regulatory-updates/March-2016/japan-azo"
META DESCRIPTION,"In Europe, when hazards are identified in consumer products, the products will be recalled and published in the Rapid Alert System, which is updated weekly.",2,"#
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-europe-recalls-summary
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-europe-recalls-summary"
META DESCRIPTION,"In Europe, when hazards are identified in consumer products, the products will be recalled and published in the Rapid Alert System, which is updated weekly. View a summary of recalls from May 2016 here.",2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/europe-recalls
https://www.asiainspection.com/regulatory-updates/June-2016/europe-recalls"
META DESCRIPTION,"In Europe, when hazards are identified in consumer products, the products will be recalled and published in the Rapid Alert System. Find a summary of European recalls for June and July 2016 here.",2,"#
https://www.asiainspection.com/regulatory-updates/August-2016/europe-recalls-summary
http://www.asiainspection.com/regulatory-updates/August-2016/europe-recalls-summary"
META DESCRIPTION,"In February 2017, the European Chemical Agency (ECHA) proposed to amend Annex XVII of Regulation (EC) No. 1907/2006 Registration, Evaluation, Authorisation and Restriction of Chemicals (REACH) through World Trade Organization (WTO) notifications. The added chemicals are Octamethylcyclotetrasiloxane (D4) and Decamethylcyclopentasiloxane (D5).",2,"#
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-echa-amendment-new-chemicals
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-echa-amendment-new-chemicals"
META DESCRIPTION,"In February 2017, the European Chemicals Agency (ECHA) issued a draft new version (Version 4) of Guidance Document on Requirements for Substances in Articles aiming to assist stakeholders complying with the obligations under Regulation (EC) No. 1907/2006 (REACH).",2,"#
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-guidance-document-reach-compliance-v4
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-guidance-document-reach-compliance-v4"
META DESCRIPTION,"In July and August 2016, the California Office of Environmental Health Hazard Assessment (OEHHA) added 8 new chemicals to the Proposition 65 List and added new toxicity to existing chemical, 1-bromopropane. See the new chemicals list here.",2,"#
http://www.asiainspection.com/regulatory-updates/August-2016/california-chemicals-prop-65
https://www.asiainspection.com/regulatory-updates/August-2016/california-chemicals-prop-65"
META DESCRIPTION,"In June 2016, Australian standards for toys, AS/NZS ISO 8124 part 1, 2 and 3 were updated to the 2016 version. In general, the Australian standards were modified from ISO 8124:2014. See the full update here.",2,"#
https://www.asiainspection.com/regulatory-updates/August-2016/australia-toys-standards
http://www.asiainspection.com/regulatory-updates/August-2016/australia-toys-standards"
